2021-11-16 21:19:12,016 | WARNI | Initializing election I <3 Engineering
2021-11-16 21:19:12,022 | INFO  | candidate
Entity Mapping Tools V2 - Second Choice                             0.0
Glassdoor Token - Second Choice                                     0.0
Glassdoor Token - Third Choice                                      0.0
RaaS - Recommendations as a Service using neo4j - Third Choice      0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Ask Slack - Second Choice                                           0.0
DeToxing Fish - Third Choice                                        0.0
Alex likes Typescript - Second Choice                               0.0
Alex likes Typescript - Third Choice                                0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
Transforming Fishbowl Recommendations - Second Choice               0.0
CDP - Third Choice                                                  0.0
BestPlacesToWorkForYou - Second Choice                              0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Search by Region - Third Choice                                     0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
Banana Cattywampus SparkleButt - Second Choice                      0.0
GD Bucket List - Third Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
Break IT Down - Second Choice                                       0.0
Solo - Third Choice                                                 0.0
DeToxing Fish - Second Choice                                       0.0
Break IT Down - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,076 | INFO  | No winner found
2021-11-16 21:19:12,076 | INFO  | Removing Transforming Fishbowl Recommendations - Second Choice
2021-11-16 21:19:12,084 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Greendoor 2.0 - First Choice                                        4.0
Alex likes Typescript - First Choice                                4.0
Banana Cattywampus SparkleButt - First Choice                       3.0
Glassdoor Token - First Choice                                      3.0
Entity Mapping Tools V2 - First Choice                              3.0
Transforming Fishbowl Recommendations - First Choice                2.0
DeToxing Fish - First Choice                                        2.0
Ask Slack - First Choice                                            2.0
Break IT Down - First Choice                                        2.0
Pick Your Adventure - First Choice                                  2.0
Infra Autobot - First Choice                                        2.0
B2B Salary Tools - First Choice                                     1.0
Find a job that fits your life! - First Choice                      1.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
Solo - First Choice                                                 1.0
The Email of Reckoning - Third Choice                               0.0
The Email of Reckoning - Second Choice                              0.0
You Have New Translations! - Second Choice                          0.0
You Have New Translations! - Third Choice                           0.0
Class of 2022! - Third Choice                                       0.0
Find a job that fits your life! - Second Choice                     0.0
Class of 2022! - Second Choice                                      0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Glassdoor Token - Second Choice                                     0.0
Entity Mapping Tools V2 - Second Choice                             0.0
Glassdoor Token - Third Choice                                      0.0
RaaS - Recommendations as a Service using neo4j - Third Choice      0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Ask Slack - Second Choice                                           0.0
Break IT Down - Third Choice                                        0.0
Alex likes Typescript - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Solo - Third Choice                                                 0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
BestPlacesToWorkForYou - Second Choice                              0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Search by Region - Third Choice                                     0.0
Alex likes Typescript - Third Choice                                0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
Banana Cattywampus SparkleButt - Second Choice                      0.0
GD Bucket List - Third Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
Break IT Down - Second Choice                                       0.0
DeToxing Fish - Second Choice                                       0.0
DeToxing Fish - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,085 | INFO  | No winner found
2021-11-16 21:19:12,085 | INFO  | Removing RaaS - Recommendations as a Service using neo4j - Third Choice
2021-11-16 21:19:12,090 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Alex likes Typescript - First Choice                                4.0
Greendoor 2.0 - First Choice                                        4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
Break IT Down - First Choice                                        2.0
DeToxing Fish - First Choice                                        2.0
Ask Slack - First Choice                                            2.0
Transforming Fishbowl Recommendations - First Choice                2.0
Pick Your Adventure - First Choice                                  2.0
Infra Autobot - First Choice                                        2.0
B2B Salary Tools - First Choice                                     1.0
Find a job that fits your life! - First Choice                      1.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
Solo - First Choice                                                 1.0
The Email of Reckoning - Third Choice                               0.0
The Email of Reckoning - Second Choice                              0.0
You Have New Translations! - Second Choice                          0.0
You Have New Translations! - Third Choice                           0.0
Class of 2022! - Third Choice                                       0.0
Find a job that fits your life! - Second Choice                     0.0
Class of 2022! - Second Choice                                      0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Glassdoor Token - Second Choice                                     0.0
Glassdoor Token - Third Choice                                      0.0
Entity Mapping Tools V2 - Second Choice                             0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Ask Slack - Second Choice                                           0.0
DeToxing Fish - Third Choice                                        0.0
Alex likes Typescript - Second Choice                               0.0
Search by Region - Third Choice                                     0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
BestPlacesToWorkForYou - Second Choice                              0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Search by Region - Second Choice                                    0.0
Alex likes Typescript - Third Choice                                0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
Banana Cattywampus SparkleButt - Second Choice                      0.0
GD Bucket List - Third Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
Break IT Down - Second Choice                                       0.0
Solo - Third Choice                                                 0.0
DeToxing Fish - Second Choice                                       0.0
Break IT Down - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,092 | INFO  | No winner found
2021-11-16 21:19:12,092 | INFO  | Removing BestPlacesToWorkForYou - Second Choice
2021-11-16 21:19:12,097 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Greendoor 2.0 - First Choice                                        4.0
Alex likes Typescript - First Choice                                4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
Ask Slack - First Choice                                            2.0
DeToxing Fish - First Choice                                        2.0
Break IT Down - First Choice                                        2.0
Infra Autobot - First Choice                                        2.0
Transforming Fishbowl Recommendations - First Choice                2.0
Pick Your Adventure - First Choice                                  2.0
B2B Salary Tools - First Choice                                     1.0
Find a job that fits your life! - First Choice                      1.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
Solo - First Choice                                                 1.0
The Email of Reckoning - Third Choice                               0.0
You Have New Translations! - Second Choice                          0.0
You Have New Translations! - Third Choice                           0.0
The Email of Reckoning - Second Choice                              0.0
Find a job that fits your life! - Second Choice                     0.0
Class of 2022! - Third Choice                                       0.0
Class of 2022! - Second Choice                                      0.0
Glassdoor Token - Second Choice                                     0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Glassdoor Token - Third Choice                                      0.0
Entity Mapping Tools V2 - Second Choice                             0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Ask Slack - Second Choice                                           0.0
Break IT Down - Third Choice                                        0.0
Alex likes Typescript - Second Choice                               0.0
Alex likes Typescript - Third Choice                                0.0
Solo - Third Choice                                                 0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Search by Region - Third Choice                                     0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
Banana Cattywampus SparkleButt - Second Choice                      0.0
GD Bucket List - Third Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
Break IT Down - Second Choice                                       0.0
DeToxing Fish - Second Choice                                       0.0
DeToxing Fish - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,098 | INFO  | No winner found
2021-11-16 21:19:12,098 | INFO  | Removing Banana Cattywampus SparkleButt - Second Choice
2021-11-16 21:19:12,103 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Greendoor 2.0 - First Choice                                        4.0
Alex likes Typescript - First Choice                                4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
DeToxing Fish - First Choice                                        2.0
Infra Autobot - First Choice                                        2.0
Transforming Fishbowl Recommendations - First Choice                2.0
Ask Slack - First Choice                                            2.0
Break IT Down - First Choice                                        2.0
Pick Your Adventure - First Choice                                  2.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
B2B Salary Tools - First Choice                                     1.0
Solo - First Choice                                                 1.0
Find a job that fits your life! - First Choice                      1.0
Glassdoor Token - Second Choice                                     0.0
Glassdoor Token - Third Choice                                      0.0
Find a job that fits your life! - Second Choice                     0.0
Entity Mapping Tools V2 - Second Choice                             0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
You Have New Translations! - Third Choice                           0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Ask Slack - Second Choice                                           0.0
The Email of Reckoning - Third Choice                               0.0
The Email of Reckoning - Second Choice                              0.0
Class of 2022! - Third Choice                                       0.0
Class of 2022! - Second Choice                                      0.0
You Have New Translations! - Second Choice                          0.0
Break IT Down - Third Choice                                        0.0
Alex likes Typescript - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Solo - Third Choice                                                 0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Search by Region - Third Choice                                     0.0
Alex likes Typescript - Third Choice                                0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
GD Bucket List - Third Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
Break IT Down - Second Choice                                       0.0
DeToxing Fish - Second Choice                                       0.0
DeToxing Fish - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,105 | INFO  | No winner found
2021-11-16 21:19:12,105 | INFO  | Removing GD Bucket List - Third Choice
2021-11-16 21:19:12,110 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Greendoor 2.0 - First Choice                                        4.0
Alex likes Typescript - First Choice                                4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
DeToxing Fish - First Choice                                        2.0
Ask Slack - First Choice                                            2.0
Transforming Fishbowl Recommendations - First Choice                2.0
Break IT Down - First Choice                                        2.0
Pick Your Adventure - First Choice                                  2.0
Infra Autobot - First Choice                                        2.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
Solo - First Choice                                                 1.0
B2B Salary Tools - First Choice                                     1.0
Find a job that fits your life! - First Choice                      1.0
Glassdoor Token - Second Choice                                     0.0
Glassdoor Token - Third Choice                                      0.0
Find a job that fits your life! - Second Choice                     0.0
Entity Mapping Tools V2 - Second Choice                             0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
You Have New Translations! - Third Choice                           0.0
Entity Mapping Tools V2 - Third Choice                              0.0
The Email of Reckoning - Third Choice                               0.0
The Email of Reckoning - Second Choice                              0.0
Class of 2022! - Third Choice                                       0.0
Class of 2022! - Second Choice                                      0.0
You Have New Translations! - Second Choice                          0.0
Break IT Down - Third Choice                                        0.0
Ask Slack - Second Choice                                           0.0
Job Title Editor Tool - Third Choice                                0.0
Solo - Third Choice                                                 0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Search by Region - Third Choice                                     0.0
Alex likes Typescript - Second Choice                               0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Banana Cattywampus SparkleButt - Third Choice                       0.0
GD Bucket List - Second Choice                                      0.0
DeToxing Fish - Third Choice                                        0.0
Break IT Down - Second Choice                                       0.0
Alex likes Typescript - Third Choice                                0.0
DeToxing Fish - Second Choice                                       0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,111 | INFO  | No winner found
2021-11-16 21:19:12,111 | INFO  | Removing Banana Cattywampus SparkleButt - Third Choice
2021-11-16 21:19:12,118 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Alex likes Typescript - First Choice                                4.0
Greendoor 2.0 - First Choice                                        4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
Ask Slack - First Choice                                            2.0
Break IT Down - First Choice                                        2.0
DeToxing Fish - First Choice                                        2.0
Transforming Fishbowl Recommendations - First Choice                2.0
Pick Your Adventure - First Choice                                  2.0
Infra Autobot - First Choice                                        2.0
Find a job that fits your life! - First Choice                      1.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - First Choice                               1.0
Solo - First Choice                                                 1.0
B2B Salary Tools - First Choice                                     1.0
The Email of Reckoning - Third Choice                               0.0
The Email of Reckoning - Second Choice                              0.0
You Have New Translations! - Second Choice                          0.0
You Have New Translations! - Third Choice                           0.0
Class of 2022! - Third Choice                                       0.0
Class of 2022! - Second Choice                                      0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Find a job that fits your life! - Second Choice                     0.0
Entity Mapping Tools V2 - Second Choice                             0.0
Glassdoor Token - Second Choice                                     0.0
Glassdoor Token - Third Choice                                      0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Break IT Down - Third Choice                                        0.0
Ask Slack - Second Choice                                           0.0
Alex likes Typescript - Second Choice                               0.0
Solo - Third Choice                                                 0.0
Linguistic Detective - Third Choice                                 0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
CDP - Third Choice                                                  0.0
Single Box Type ahead - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Job Title Editor Tool - Third Choice                                0.0
Search by Region - Third Choice                                     0.0
Search by Region - Second Choice                                    0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
GD Bucket List - Second Choice                                      0.0
DeToxing Fish - Third Choice                                        0.0
Break IT Down - Second Choice                                       0.0
Alex likes Typescript - Third Choice                                0.0
DeToxing Fish - Second Choice                                       0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,120 | INFO  | No winner found
2021-11-16 21:19:12,120 | INFO  | Removing Break IT Down - Second Choice
2021-11-16 21:19:12,126 | INFO  | candidate
RaaS - Recommendations as a Service using neo4j - First Choice     12.0
GD Bucket List - First Choice                                      10.0
Class of 2022! - First Choice                                       7.0
BestPlacesToWorkForYou - First Choice                               5.0
Alex likes Typescript - First Choice                                4.0
Greendoor 2.0 - First Choice                                        4.0
Entity Mapping Tools V2 - First Choice                              3.0
Glassdoor Token - First Choice                                      3.0
Banana Cattywampus SparkleButt - First Choice                       3.0
Infra Autobot - First Choice                                        2.0
Ask Slack - First Choice                                            2.0
Break IT Down - First Choice                                        2.0
Pick Your Adventure - First Choice                                  2.0
DeToxing Fish - First Choice                                        2.0
Transforming Fishbowl Recommendations - First Choice                2.0
The Email of Reckoning - First Choice                               1.0
B2B Salary Tools - First Choice                                     1.0
Find a job that fits your life! - First Choice                      1.0
Solo - First Choice                                                 1.0
You Have New Translations! - First Choice                           1.0
The Email of Reckoning - Second Choice                              0.0
Find a job that fits your life! - Second Choice                     0.0
You Have New Translations! - Third Choice                           0.0
You Have New Translations! - Second Choice                          0.0
The Email of Reckoning - Third Choice                               0.0
Search by Region - Third Choice                                     0.0
Glassdoor Token - Second Choice                                     0.0
Class of 2022! - Third Choice                                       0.0
Class of 2022! - Second Choice                                      0.0
Entity Mapping Tools V2 - Third Choice                              0.0
Entity Mapping Tools V2 - Second Choice                             0.0
Solo - Third Choice                                                 0.0
RaaS - Recommendations as a Service using neo4j - Second Choice     0.0
Linguistic Detective - Third Choice                                 0.0
Glassdoor Token - Third Choice                                      0.0
Search by Region - Second Choice                                    0.0
GD Bucket List - Second Choice                                      0.0
Job Title Editor Tool - Third Choice                                0.0
Single Box Type ahead - Second Choice                               0.0
Greendoor 2.0 - Third Choice                                        0.0
Greendoor 2.0 - Second Choice                                       0.0
Single Box Type ahead - Third Choice                                0.0
CDP - Third Choice                                                  0.0
DeToxing Fish - Third Choice                                        0.0
Sleepy Nights = Neo4j Insights - Third Choice                       0.0
DeToxing Fish - Second Choice                                       0.0
Transforming Fishbowl Recommendations - Third Choice                0.0
Alex likes Typescript - Third Choice                                0.0
Alex likes Typescript - Second Choice                               0.0
Sleepy Nights = Neo4j Insights - Second Choice                      0.0
Ask Slack - Second Choice                                           0.0
Break IT Down - Third Choice                                        0.0
Name: respondent_id, dtype: float64
2021-11-16 21:19:12,128 | INFO  | No winner found
2021-11-16 21:19:12,128 | INFO  | Removing CDP - Third Choice
